https://greenpeacearabic.org/%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1-%D8%B2%D9%8A%D8%AA-%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84-%D9%85%D9%86-%D9%8A%D9%82%D8%B6%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%BA%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84/,Migrate ,Post,Forests ,Story,#Forests,#Consumption,أشجار زيت النخيل: من يقضي على الغابات الاستوائية؟,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%A5-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A3%D8%B2%D9%85%D8%A9-%D9%81%D9%88%D9%83%D9%88%D8%B4%D9%8A%D9%85%D8%A7-%D9%88%D9%84%D8%A7-%D8%AA%D8%B2%D8%A7%D9%84-%D8%A7%D9%84%D9%83%D8%A7/,Migrate ,Post,Nature,Press Release,,,٥ سنوات على أزمة فوكوشيما ولا تزال الكارثة مستمرة,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%AA%D8%B7%D9%84%D9%82-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%B4%D9%87%D8%AF-%D8%A7%D9%84%D8%B9/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,غرينبيس الدولية تطلق تقرير “المشهد العالمي للكهرباء الشمسية الحرارية 2015”,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%AA%D8%AD%D9%82%D9%8A%D9%82-%D8%B3%D8%B1%D9%91%D9%8A-%D9%84%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D9%8A%D9%83%D8%B4%D9%81-%D8%AA%D9%84%D9%82%D9%8A-%D8%B9%D9%84%D9%85%D8%A7%D8%A1-%D8%AA%D9%85/,Migrate ,Post,Energy,Story,#Climate,,تحقيق سرّي لغرينبيس يكشف تلقي علماء تمويلاً من شركات كبرى لصياغة تقارير تشكك في تغيّر المناخ,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%A7%D9%84%D8%A5%D8%AA%D9%81%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D9%88%D9%88%D9%8A-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A-%D8%AE%D8%B7%D9%8A%D8%B1-%D9%88%D9%8A%D9%81/,Migrate ,Post,Energy,Press Release,,,الإتفاق النووي المصري الروسي خطير ويفتقر إلى المسوؤلية ولا حاجة له,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%A7%D9%84%D8%BA%D8%A7%D8%A1-%D9%85%D8%B3%D9%8A%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE-%D9%81%D9%8A-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3/,Migrate ,Post,Energy,Press Release,#Climate,,الغاء مسيرة المناخ في باريس,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%AD%D9%85%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%A8%D8%A8%D9%84%D8%A7%D8%B4/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,حملة “الشمس ببلاش”- Campaign info + clippings,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D9%91%D8%B7-%D8%AA%D9%8F%D8%B7%D9%84%D9%90%D9%82-%D8%AD%D9%85%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%A8%D8%A8/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,"غرينبيس المتوسّط تُطلِق حملة “الشمس ببلاش” الطاقة الشمسية حلٌّ لأزمة الكهرباء في لبنان
to add the link to the report",,,Fadi Gedeon
https://greenpeacearabic.org/%D8%B3%D9%8A%D9%91%D8%AF%D8%AA%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%B1%D8%A3%D8%B3-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D9%81%D9%8A-%D8%B3%D8%A7%D8%A8/,Migrate ,Post,,Press Release,#AboutUs,,سيّدتان على رأس غرينبيس الدولية في سابقة في مسيرتها,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%B9%D8%A7%D9%86/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,مشروع معان لطاقة الرياح يضع الأردن على خارطة المنافسة العربية,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D8%AD%D8%B7%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D8%AD%D9%85-%D8%A7%D9%84%D8%AD%D8%AC%D8%B1%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D8%AA%D8%B3%D8%AA%D9%87%D9%84%D9%83-%D9%85%D9%8A/,Migrate ,Post,Energy,Press Release,#Coal,#Water,محطات الفحم الحجري في العالم تستهلك مياهً عذبة تكفي مليار نسمة ,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%8A%D9%84%D8%A7_%D8%B9%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A7%D9%84%D8%B4%D9%85%D8%B3%D9%8A%D8%A9/,Migrate ,Post,Ships,Story,#EnergyRevolution,#Climate,#يلا_عالطاقة_الشمسية ضمن جولة #الشمس_تجمعنا على متن سفينة #الراينبو_وارير,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D8%A7%D8%B9%D9%84%D8%A7%D9%86-%D8%AC%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%AA%D8%AC%D9%85%D8%B9%D9%86%D8%A7-%D8%B9%D9%84%D9%89-%D9%85%D8%AA%D9%86-%D8%B3/,Migrate ,Post,,Publication,,,مؤتمر اعلان جولة الشمس تجمعنا على متن سفينة الراينبو وارير,,,Fadi Gedeon
https://greenpeacearabic.org/rainbow-warrior-open-boat-day/,Migrate ,Post,Ships,Press Release,#Climate,#EnergyRevolution,سفينتنا الأسطورية، راينبو واريور تزور لبنان!,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D9%88%D9%82%D9%81-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D9%85%D9%86-%D8%B4%D8%AD%D9%86%D8%A9-%D8%A7%D9%84%D9%86%D9%81%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B5%D8%AF%D8%B1%D8%A9/,Migrate ,Post,Nature,Press Release,#Waste,#Consumption,موقف غرينبيس من شحنة النفايات المصدرة من ايطاليا الى المغرب,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D9%87%D8%A7-%D9%88%D8%A7%D9%84%D8%B4%D9%85%D8%B3/,Migrate ,Post,,Publication,,,مها والشمس,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D8%B7-%D8%AA%D8%AD%D9%8A%D9%8A-%D8%A8%D8%AF%D8%A1-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%A8/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس المتوسط تحيي بدء تنفيذ اتفاق باريس وتحثّ الدول العربيّة على تصديقها,,,Fadi Gedeon
https://greenpeacearabic.org/peaceday/,Migrate ,Post,,Press Release,,,"لنجعله سلامًا أخضر
PEACE",,,Fadi Gedeon
https://greenpeacearabic.org/rwleb/,Migrate ,Post,,Press Release,,,أجمل اللحظات لسفينة الراينبو واريور في لبنان,,,Fadi Gedeon
https://greenpeacearabic.org/solarheroes/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,أبطال الطاقة المتجددة من قرية اريغ ن تاهلة,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D9%81%D9%8A-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D8%B1%D8%A7%D8%AB%D9%8A-%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D9%84-100-%D8%B7%D8%A7%D9%82%D8%A9-%D9%85%D8%AA%D8%AC/,Migrate ,Post,,Publication,,,غرينبيس في موقع تراثي عالمي ل 100% طاقة متجددة!,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%B3%D9%81%D9%8A%D9%86%D8%A9-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%B1%D8%A7%D9%8A%D9%86%D8%A8%D9%88-%D9%88%D8%A7%D8%B1%D9%8A%D9%88%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,سفينة غرينبيس راينبو واريور في المغرب لإيصال رسائل تدعم الانتقال الى 100% طاقة متجددة قبل قمة المناخ كوب 22,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%AA%D8%AC%D9%85%D8%B9%D9%86%D8%A7-%D9%85%D8%B9-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%84%DB%8C%D9%84%D9%89/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,الشمس تجمعنا مع مشروع ليلى,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%B3%D9%81%D9%8A%D9%86%D8%AA%D9%86%D8%A7-%D8%A7%D9%84%D8%A3%D8%B3%D8%B7%D9%88%D8%B1%D9%8A%D8%A9%D8%8C-%D8%B1%D8%A7%D9%8A%D9%86%D8%A8%D9%88-%D9%88%D8%A7%D8%B1%D9%8A%D9%88%D8%B1-%D8%AA%D8%B2%D9%88/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,سفينتنا الأسطورية، راينبو واريور تزور مدينة طنجة لأول مرة..نتمنى وجودك بيننا!,,,Fadi Gedeon
https://greenpeacearabic.org/wd2017/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,نساء لبنان..آفاق جديدة من الطاقة الشمسية!,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%B3%D9%81%D9%8A%D9%86%D8%A9-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%B1%D8%A7%D9%8A%D9%86%D8%A8%D9%88-%D9%88%D8%A7%D8%B1%D9%8A%D9%88%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-2/,Migrate ,Post,,Publication,,,سفينة غرينبيس راينبو واريور في المغرب,,,Fadi Gedeon
https://greenpeacearabic.org/100re/,Migrate ,Post,,Publication,,,لعالم 100% طاقة متجددة,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%B5%D9%88%D8%B1%D9%83%D9%85-%D9%85%D8%B9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3/,Migrate ,Post,,Publication,,,صوركم مع الشمس,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D8%B3%D9%8A%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8/,Migrate ,Post,,Publication,,,مسيرة المناخ في المغرب,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%AA%D8%B7%D8%A7%D9%84%D8%A8-%D8%A8%D8%B9%D8%A7%D9%84%D9%85-%D9%A1%D9%A0%D9%A0%D9%AA-%D8%B7%D8%A7%D9%82%D8%A9-%D9%85%D8%AA%D8%AC%D8%AF%D8%AF%D8%A9-%D9%81/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس تطالب بعالم ١٠٠٪ طاقة متجددة في مسيرة المناخ في مراكش,,,Fadi Gedeon
https://greenpeacearabic.org/breakfreeworld/,Migrate ,Post,,Publication,,,BreakFree حول العالم,,,Fadi Gedeon
https://greenpeacearabic.org/breakfreeipr/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,حرر العالم العربي من الوقود الأحفوري!,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%84%D9%86%D8%AA%D8%AD%D8%B1%D8%B1-%D9%85%D9%86-%D8%A7%D9%84%D9%88%D9%82%D9%88%D8%AF-%D8%A7%D9%84%D8%A3%D8%AD%D9%81%D9%88%D8%B1%D9%8A/,Migrate ,Post,,Publication,,,لنتحرر من الوقود الأحفوري,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%86%D8%B4%D8%A7%D8%B7%D8%A7%D8%AA-%D8%AD%D8%B1%D9%83%D8%A9-breakfree/,Migrate ,Post,,Publication,,,نشاطات حركة “BreakFree”,,,Fadi Gedeon
https://greenpeacearabic.org/wen/,Migrate ,Post,Energy,Story,#Climate,#EnergyRevolution,ما الذي يجعل النساء أكثر تأثرًا بتغيّر المناخ؟,,,Fadi Gedeon
https://greenpeacearabic.org/plastic-footprint/,Migrate ,Post,,Publication,,,أعرف كمية البلاستيك الذي تستخدمه في حياتك!,,,Fadi Gedeon
https://greenpeacearabic.org/wwd2017/,Migrate ,Post,Nature,Story,#Water,,4 طرق عمليّة للمحافظة على المياه في يومها العالمي,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%AA%D8%A8%D8%A7%D8%B1%D9%83-%D9%84%D8%AF%D8%A8%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D8%A7%D8%B2-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس تبارك لدبي على الإنجاز الجديد في الطاقة الشمسية,,,Fadi Gedeon
https://greenpeacearabic.org/china2020/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,الصين تخطت هدف العام 2020 في مشاريع الطاقة الشمسية,,,Fadi Gedeon
https://greenpeacearabic.org/balaplasticroundup/,Migrate ,Post,,Publication,,,BalaPlastic#,,,Fadi Gedeon
https://greenpeacearabic.org/balaplastic/,Migrate ,Post,Nature,Press Release,#Consumption,,المئات من الناشطين في حملة لتنظيف الشاطئ لرفع التوعية ضد البلاستيك الأحادي الاستعمال,,,Fadi Gedeon
https://greenpeacearabic.org/solaryouth/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس تطلق مشروعها الشبابي للطاقة الشمسية في المغرب,,,Fadi Gedeon
https://greenpeacearabic.org/arctic30/,Migrate ,Post,Ships,Press Release,#RainbowWarrior,,"القضاءُ يُلزِم الاتحاد الروسي بدفع 5,4 مليون يورو لهولندا في قضية سفينة غرينبيس",,,Fadi Gedeon
https://greenpeacearabic.org/bannw/,Migrate ,Post,Nuclear,Press Release,,,الأسلحةُ النووية باتت محظورة أخيرا الآن بموجبِ القانونِ الدولي,,,Fadi Gedeon
https://greenpeacearabic.org/antarctic/,Migrate ,Post,Oceans,Press Release,#Antarctic,,أمامنا سنة واحدة لإنشاء أكبر منطقة محمية على الأرض,,,Fadi Gedeon
https://greenpeacearabic.org/carolina-nyberg-steiser/,Migrate ,Post,Forests ,Press Release,,,غرينبيس تفتقد صديقة عزيزة وزميلة اثر حادث مأساوي في البرازيل,,,Fadi Gedeon
https://greenpeacearabic.org/solarcooking/,Migrate ,Post,,Publication,,,#الطبخ_على_الطاقة_الشمسية,,,Fadi Gedeon
https://greenpeacearabic.org/gstp/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,أطلقت غرينبيس برنامجا لتعزيز قطاع الطاقة الشمسية في لبنان,,,Fadi Gedeon
https://greenpeacearabic.org/stposvideo/,Migrate ,Post,,Publication,,,استغلال طاقة الشمس,,,Fadi Gedeon
https://greenpeacearabic.org/irma/,Migrate ,Post,Energy,Story,#Climate,,الأعاصير بقبضة التغير المناخي,,,Fadi Gedeon
https://greenpeacearabic.org/wmc/,Migrate ,Post,Nature,Publication,#Waste,,الإطلاق الرسمي لإئتلاف ادارة النفايات: مجموعة ضغط للدفع نحو تطبيق استراتيجية مستدامة لإدارة النفايات!,,,Fadi Gedeon
https://greenpeacearabic.org/chef/,Migrate ,Post,,Publication,,,هل أنت طباخ ماهر؟,,,Fadi Gedeon
https://greenpeacearabic.org/tyrecooker/,Migrate ,Post,,Publication,,,الطهي بواسطة الإطار الشمسي,,,Fadi Gedeon
https://greenpeacearabic.org/boxcooker/,Migrate ,Post,,Publication,,,الطهي بواسطة علبة الكرتون,,,Fadi Gedeon
https://greenpeacearabic.org/ios/,Migrate ,Post,Energy,Story,#Oil,,أيّها الرئيس، أيّها الرئيس، هناك حريقٌ في البحر!,,,Fadi Gedeon
https://greenpeacearabic.org/stopshale/,Migrate ,Post,Energy,Press Release,#Coal,,طموحات الغاز الصخري تعرض موارد المياه الشحيحة في الجزائر للخطر,,,Fadi Gedeon
https://greenpeacearabic.org/nwrhino/,Migrate ,Post,Nature,Publication,,,كينيا تعلن نبأ نفوق آخر ذكر بالعالم من سلالة وحيد القرن الأبيض الشمالي,,,Fadi Gedeon
https://greenpeacearabic.org/bottledwater/,Migrate ,Post,Nature,Press Release,#Water,,مياه عبوات بلاستيكية من ماركات عالمية “ملوّثة”,,,Fadi Gedeon
https://greenpeacearabic.org/worldre/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,أكثر من 100 مدينة حول العالم تعتمد بشكل رئيسي على مصادر الطاقة المتجددة,,,Fadi Gedeon
https://greenpeacearabic.org/uae-re/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,غرينبيس: “مبادرة زايد الانسانية العالمية للطاقة المتجددة تظهر تصميم دولة الإمارات العربية المتحدة على مكافحة تغير المناخ”,,,Fadi Gedeon
https://greenpeacearabic.org/heatwave/,Migrate ,Post,Energy,Story,#Climate,,موجات حر شديدة أم تغير المناخ؟,,,Fadi Gedeon
https://greenpeacearabic.org/millionactofblue/,Migrate ,Post,,Publication,,,مليونية كوكبنا الأزرق,,,Fadi Gedeon
https://greenpeacearabic.org/worldcup/,Migrate ,Post,,Publication,,,انت الحكم!,,,Fadi Gedeon
https://greenpeacearabic.org/digital_strategist/,Migrate ,Post,JOB,Publication,,,وظيفة: مسؤول/ة الاستراتيجيات الرقمية,,,Fadi Gedeon
https://greenpeacearabic.org/gdsm/,Migrate ,Post,JOB,Publication,,,متدرّب/ة: مصمم غرافيكي لوسائل التواصل الاجتماعي,,,Fadi Gedeon
https://greenpeacearabic.org/multimediaeditor/,Migrate ,Post,JOB,Publication,,,وظيفة: محرّر الوسائط المتعدّدة,,,Fadi Gedeon
https://greenpeacearabic.org/lbwaste/,Migrate ,Post,Oceans,Press Release,#Waste,#Consumption,موقف غرينبيس من خطة الحكومة اللبنانية لمعالجة النفايات,,,Fadi Gedeon
https://greenpeacearabic.org/organisationaldirector/,Migrate ,Post,JOB,Publication,,,وظيفة: مدير تنظيمي,,,Fadi Gedeon
https://greenpeacearabic.org/zeroplastic/,Migrate ,Post,Oceans,Story,#Waste,#Consumption,لحياة بلا بلاستيك!,,,Fadi Gedeon
https://greenpeacearabic.org/greenpeace-ipr-closing-cop20-ar/,Migrate ,Post,Energy,Story,#Climate,,نتهاء مؤتمر المناخ العالمي في ليما: الوقود الأحفوري يتلاشى,,,Fadi Gedeon
https://greenpeacearabic.org/greenpeace-at-machu-pichhu/,Migrate ,Post,Energy,Story,#Climate,,نشطاء غرينبيس يرفعون رسالة “ادعم الطاقة الشمسية” في ماتشو بيتشو بمناسبة انعقاد قمة المناخ في ليما,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%81%D9%8A-%D9%85%D8%AD%D8%A7%D8%AF%D8%AB%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE-%D9%81%D9%8A-%D9%85%D8%B1%D8%A7%D9%83%D8%B4-%D8%A7%D9%84%D8%B3%D8%B1%D8%B9%D8%A9-%D9%81%D9%8A-%D8%A7%D8%AA/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,في محادثات المناخ في مراكش السرعة في اتخاذ القرارات يجب ان تكون قانونا طبيعيا جديدا,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%B3%D9%81%D9%8A%D9%86%D8%A9-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%B1%D9%8A%D9%86%D8%A8%D9%88-%D9%88%D8%A7%D8%B1%D9%8A%D9%88%D8%B1-%D9%81%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%84%D8%A5/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,سفينة غرينبيس رينبو واريور في لبنان لإطلاق جولة “الشمس تجمعنا” في منطقة المتوسّط,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%A7%D9%84%D9%81%D9%8A%D9%84%D9%8A%D8%A8%D9%8A%D9%86-%D8%AA%D9%81%D8%AA%D8%AD-%D8%A3%D9%88%D9%84-%D8%AA%D8%AD%D9%82%D9%8A%D9%82-%D9%88%D8%B7%D9%86%D9%8A-%D9%84%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,الفيليبين تفتح أول تحقيق وطني لحقوق الإنسان في العالم يتعلّق بـ50 جهة ملوّثة كبرى,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%A7%D9%84%D9%81%D9%8A%D9%84%D9%8A%D8%A8%D9%8A%D9%86-%D8%AA%D9%81%D8%AA%D8%AD-%D8%A3%D9%88%D9%84-%D8%AA%D8%AD%D9%82%D9%8A%D9%82-%D9%88%D8%B7%D9%86%D9%8A-%D9%84%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84/,Migrate ,Post,,Press Release,,,“القاتل الصامت”,,,Fadi Gedeon
https://greenpeacearabic.org/kerkennah/,Migrate ,Post,Energy,Press Release,#Climate,#Oil,غرينبيس تدعم المجتمع المدني التونسي للدفاع عن جزر قرقنة من تسريبات النفط!,,,Fadi Gedeon
https://greenpeacearabic.org/htps/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس تطلق “المغرب – استغلال طاقة الشمس”,,,Fadi Gedeon
https://greenpeacearabic.org/balaplastic/,Migrate ,Post,Oceans,Press Release,#Consumption,,المئات من الناشطين في حملة لتنظيف الشاطئ لرفع التوعية ضد البلاستيك الأحادي الاستعمال,,,Fadi Gedeon
https://greenpeacearabic.org/g20/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس تحث دول مجموعة الـ19 بما فيها السعودية على رفع سقف الطموح كي يكون أبعد وأقوى من اتفاقية باريس للمناخ!,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%82%D9%85%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D9%84%D9%84%D9%85%D9%86%D8%A7%D8%AE-%D9%81%D9%8A-%D9%85%D8%B1%D8%A7%D9%83%D8%B4/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,قمة الأمم المتحدة للمناخ في مراكش,,,Fadi Gedeon
https://greenpeacearabic.org/egwindfarm/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس ترحب بمزرعة الرياح في جبل الزيت كمعلم بارز للطاقة في العالم!,,,Fadi Gedeon
https://greenpeacearabic.org/egcl/,Migrate ,Post,Energy,Press Release,#Coal,,غرينبيس عن إعلان الحكومة المصرية بناء محطة للفحم الحجري: انه نكسة خطيرة لطموح مصر,,,Fadi Gedeon
https://greenpeacearabic.org/antarctica/,Migrate ,Post,Oceans,Press Release,#Waste,#Consumption,بعثة غرينبيس في أنتارتيكا/ القطب الجنوبي تجد تلوثاً بلاستيكياً وكيماويات خطرة في مياه أنتاركتيكا,,,Fadi Gedeon
https://greenpeacearabic.org/bf/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,المغاربة يبعثون رسالة الى العالم: تحرر من الوقود الأحفوري وانتقل الى الطاقة الشمسية!,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D9%88%D9%86%D9%8A%D8%AA%D9%88%D8%B1-%D8%A2%D9%86%D8%AF-%D9%8A%D9%88%D8%AB-%D9%8A%D8%A3%D8%AE%D8%B0%D8%A7%D9%86-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,“غرينبيس و”نيتور آند يوث” يأخذان الحكومة النرويجية إلى المحكمة العليا,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D9%88%D8%A7%D8%B5%D8%A9-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%AA%D9%84%D8%AA%D9%82%D8%B7-%D9%85%D8%B4%D8%A7%D9%87%D8%AF-%D9%86%D8%A7%D8%AF%D8%B1%D8%A9-%D9%84%D9%82%D8%A7/,Migrate ,Post,Energy,Press Release,#Oceans,#Antarctic,غواصة «غرينبيس» تلتقط مشاهد نادرة لقاع المحيط المتجمّد الجنوبي الذي «يعجّ بالحياة»,,,Fadi Gedeon
